company_id,roe,opm_percentage,net_profit,eps,profit_before_tax,valuation_score,valuation_rating
AXISBANK,0.0,11952.0,24861,81.0,33060,11043.9,Strong
AXISBANK,0.0,9061.0,26386,85.0,34304,10634.099999999999,Strong
BAJAJFINSV,0.0,49.0,2214,10.0,2708,678.9,Strong
BAJAJFINSV,0.0,75.0,2191,10.0,2902,679.8,Strong
BAJAJFINSV,0.0,49.0,2409,11.0,3251,737.4,Strong
BAJAJFINSV,0.0,33.0,2775,12.0,3804,842.4,Strong
BAJAJFINSV,0.0,36.0,3450,14.0,4925,1045.8,Strong
BAJAJFINSV,0.0,33.0,4176,17.0,6099,1262.7,Strong
BAJAJFINSV,0.0,35.0,5374,20.0,8155,1622.7,Strong
BAJAJFINSV,0.0,34.0,5994,21.0,8302,1808.4,Strong
BAJAJFINSV,0.0,32.0,7367,28.0,9862,2219.7,Strong
BAJAJFINSV,0.0,31.0,8314,29.0,11271,2503.5,Strong
BAJAJFINSV,0.0,36.0,12210,40.0,16811,3673.8,Strong
BAJAJFINSV,0.0,37.0,15595,51.0,21375,4689.6,Strong
BAJAJFINSV,0.0,36.0,16520,53.0,22892,4966.8,Strong
BAJAJHLDNG,0.0,95.0,1856,167.0,322,585.3,Strong
BAJAJHLDNG,0.0,94.0,1988,179.0,400,624.6,Strong
BAJAJHLDNG,0.0,92.0,2029,182.0,513,636.3,Strong
BAJAJHLDNG,0.0,91.0,2265,204.0,430,706.8,Strong
BAJAJHLDNG,0.0,75.0,2473,222.0,630,764.4,Strong
BAJAJHLDNG,0.0,85.0,2655,239.0,2739,822.0,Strong
BAJAJHLDNG,0.0,80.0,3048,274.0,3170,938.4,Strong
BAJAJHLDNG,0.0,69.0,3080,269.0,3314,944.7,Strong
BAJAJHLDNG,0.0,77.0,3654,328.0,3766,1119.3,Strong
BAJAJHLDNG,0.0,76.0,4126,364.0,4226,1260.6,Strong
BAJAJHLDNG,0.0,73.0,4946,436.0,5012,1505.7,Strong
BAJAJHLDNG,0.0,92.0,7365,653.0,7493,2237.1,Strong
BAJAJHLDNG,0.0,90.0,7486,666.0,7574,2272.7999999999997,Strong
BAJFINANCE,0.0,1367.0,898,18.0,1357,679.5,Strong
BAJFINANCE,0.0,1986.0,1279,24.0,1965,979.5,Strong
BAJFINANCE,0.0,2867.0,1836,33.0,2817,1410.9,Strong
BAJFINANCE,0.0,3935.0,2496,43.0,3843,1929.3,Strong
BAJFINANCE,0.0,6310.0,3995,69.0,6179,3091.5,Strong
BAJFINANCE,0.0,7608.0,5264,87.0,7322,3861.6000000000004,Strong
BAJFINANCE,0.0,6314.0,4420,73.0,5992,3220.2,Strong
BAJFINANCE,0.0,9906.0,7028,116.0,9504,5080.2,Strong
BAJFINANCE,0.0,16018.0,11508,190.0,15528,8257.8,Strong
BAJFINANCE,0.0,19987.0,14451,233.0,19310,10331.4,Strong
BAJFINANCE,0.0,21417.0,15389,248.0,20667,11041.8,Strong
BANKBARODA,0.0,1006.0,4829,23.0,5195,1750.5,Strong
BANKBARODA,0.0,809.0,5036,23.0,5996,1753.5,Strong
BANKBARODA,0.0,902.0,3950,18.0,5983,1455.6,Strong
BANKBARODA,0.0,-11700.0,-5033,-22.0,-6233,-5019.9,Weak
BANKBARODA,0.0,-4372.0,1855,8.0,3024,-755.0999999999999,Weak
BANKBARODA,0.0,-9197.0,-1836,-7.0,-2106,-3309.8999999999996,Weak
BANKBARODA,0.0,-5414.0,1166,4.0,1525,-1274.4,Weak
BANKBARODA,0.0,-11728.0,981,2.0,-1234,-3224.1,Weak
BANKBARODA,0.0,-6957.0,1620,3.0,6373,-1601.1,Weak
BANKBARODA,0.0,-2948.0,7933,15.0,10008,1495.5,Strong
BANKBARODA,0.0,6329.0,15005,29.0,20565,6400.2,Strong
BANKBARODA,0.0,4102.0,18869,36.0,25799,6891.299999999999,Strong
BANKBARODA,0.0,3526.0,20144,39.0,27332,7101.0,Strong
BHARTIARTL,0.0,30.0,2267,4.0,4785,689.1,Strong
BHARTIARTL,0.0,31.0,3019,5.0,7864,914.9999999999999,Strong
BHARTIARTL,0.0,35.0,5048,8.0,10540,1524.8999999999999,Strong
BHARTIARTL,0.0,35.0,6893,11.0,12846,2078.4,Strong
BHARTIARTL,0.0,37.0,4241,7.0,7723,1283.3999999999999,Strong
BHARTIARTL,0.0,36.0,2184,2.0,3267,665.9999999999999,Strong
BHARTIARTL,0.0,32.0,1688,1.0,-1732,516.0,Strong
BHARTIARTL,0.0,42.0,-30664,-55.0,-42846,-9186.599999999999,Weak
BHARTIARTL,0.0,45.0,-12364,-26.0,-3432,-3695.7,Weak
BHARTIARTL,0.0,49.0,8305,7.0,12483,2506.2,Strong
BHARTIARTL,0.0,51.0,12287,15.0,16561,3701.4,Strong
BHARTIARTL,0.0,52.0,8558,13.0,12679,2583.0,Strong
BHARTIARTL,0.0,52.0,13816,22.0,18809,4160.400000000001,Strong
BEL,0.0,11.0,911,1.0,1147,276.6,Strong
BEL,0.0,14.0,952,1.0,1206,289.79999999999995,Strong
BEL,0.0,17.0,1197,2.0,1513,364.2,Strong
BEL,0.0,19.0,1337,2.0,1764,406.79999999999995,Strong
BEL,0.0,21.0,1523,2.0,1983,463.2,Strong
BEL,0.0,20.0,1431,2.0,1957,435.3,Strong
BEL,0.0,24.0,1887,3.0,2628,573.3000000000001,Strong
BEL,0.0,21.0,1825,3.0,2478,553.8,Strong
BEL,0.0,23.0,2100,3.0,2942,636.9,Strong
BEL,0.0,22.0,2400,3.0,3166,726.6,Strong
BEL,0.0,23.0,2986,4.0,3923,902.6999999999999,Strong
BEL,0.0,25.0,3985,5.0,5266,1203.0,Strong
BEL,0.0,26.0,4541,6.0,6010,1370.1,Strong
BHEL,0.0,19.0,6693,18.0,9531,2013.6,Strong
BHEL,0.0,12.0,3502,10.0,5078,1054.1999999999998,Strong
BHEL,0.0,7.0,1450,4.0,2187,437.1,Strong
BHEL,0.0,-5.0,-706,-2.0,-1161,-213.29999999999998,Weak
BHEL,0.0,4.0,455,1.0,586,137.7,Strong
BHEL,0.0,6.0,438,1.0,1215,133.20000000000002,Strong
BHEL,0.0,7.0,1002,3.0,1840,302.7,Strong
BHEL,0.0,-1.0,-1468,-4.0,-659,-440.7,Weak
BHEL,0.0,-18.0,-2700,-8.0,-3596,-815.4,Weak
BHEL,0.0,4.0,445,1.0,470,134.7,Strong
BHEL,0.0,4.0,654,2.0,716,197.39999999999998,Strong
BHEL,0.0,3.0,282,1.0,243,85.5,Moderate
BHEL,0.0,4.0,445,1.0,583,134.7,Strong
BOSCHLTD,0.0,16.0,958,305.0,1346,292.2,Strong
BOSCHLTD,0.0,15.0,885,282.0,1257,270.0,Strong
BOSCHLTD,0.0,16.0,1338,426.0,1956,406.2,Strong
BOSCHLTD,0.0,19.0,1531,488.0,2102,465.0,Strong
BOSCHLTD,0.0,19.0,1741,570.0,2391,528.0,Strong
BOSCHLTD,0.0,18.0,1371,449.0,2041,416.7,Strong
BOSCHLTD,0.0,18.0,1598,542.0,2339,484.79999999999995,Strong
BOSCHLTD,0.0,15.0,650,220.0,985,199.5,Strong
BOSCHLTD,0.0,12.0,482,164.0,567,148.2,Strong
BOSCHLTD,0.0,12.0,1217,413.0,1500,368.7,Strong
BOSCHLTD,0.0,13.0,1424,483.0,1882,431.09999999999997,Strong
BOSCHLTD,0.0,13.0,2490,844.0,3181,750.9,Strong
BOSCHLTD,0.0,13.0,2084,707.0,2668,629.0999999999999,Strong
BPCL,0.0,3.0,1936,4.0,3220,581.6999999999999,Strong
BPCL,0.0,4.0,4053,9.0,6166,1217.1,Strong
BPCL,0.0,4.0,5082,11.0,7690,1525.8,Strong
BPCL,0.0,7.0,8089,19.0,12132,2428.7999999999997,Strong
BPCL,0.0,7.0,9507,20.0,13700,2854.2,Strong
BPCL,0.0,6.0,9792,21.0,14174,2939.4,Strong
BPCL,0.0,5.0,8528,18.0,12905,2559.9,Strong
BPCL,0.0,3.0,3666,7.0,3652,1100.7,Strong
BPCL,0.0,9.0,17320,37.0,22432,5198.7,Strong
BPCL,0.0,6.0,11682,27.0,16037,3506.4,Strong
BPCL,0.0,2.0,2131,5.0,2821,639.9,Strong
BPCL,0.0,10.0,26859,62.0,36194,8060.7,Strong
BPCL,0.0,6.0,13734,32.0,18955,4122.0,Strong
BRITANNIA,0.0,7.0,260,11.0,358,80.1,Moderate
BRITANNIA,0.0,9.0,395,16.0,569,121.2,Strong
BRITANNIA,0.0,11.0,689,29.0,950,210.0,Strong
BRITANNIA,0.0,15.0,825,34.0,1220,252.0,Strong
BRITANNIA,0.0,14.0,885,37.0,1304,269.7,Strong
BRITANNIA,0.0,15.0,1004,42.0,1518,305.7,Strong
BRITANNIA,0.0,16.0,1155,48.0,1768,351.3,Strong
BRITANNIA,0.0,16.0,1394,58.0,1844,423.0,Strong
BRITANNIA,0.0,19.0,1851,77.0,2514,561.0,Strong
BRITANNIA,0.0,16.0,1516,63.0,2078,459.6,Strong
BRITANNIA,0.0,17.0,2316,96.0,3033,699.9,Strong
BRITANNIA,0.0,19.0,2134,89.0,2913,645.9,Strong
BRITANNIA,0.0,18.0,2129,89.0,2889,644.0999999999999,Strong
CANBK,0.0,655.0,2995,12.0,3771,1095.0,Strong
CANBK,0.0,-672.0,2672,10.0,3242,600.0,Strong
CANBK,0.0,-621.0,2931,11.0,3683,693.0,Strong
CANBK,0.0,-8008.0,-2535,-9.0,-2914,-3162.9,Weak
