company_id,year,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,dividend_payout_ratio,return_on_equity_pct_score,interest_coverage_score,asset_turnover_score,dividend_payout_ratio_score,debt_to_equity_score,overall_score,company_rank
ICICIGI,Mar 2020,19.46527551353114,0.0790674926638408,649.6666666666666,0.3109173370768317,1.0887772194304857,5.867145091198554,56.25629799506585,0.08783929983698385,28.437960002030348,99.97622701138536,38.12509387990342,72.0
DIVISLAB,Mar 2018,14.80168776371308,0.010632911392405,634.5,0.5734708916728076,3.4207525655644244,5.842574691784965,56.098196601688734,0.16201502970219492,28.49979268166269,99.99680303405412,38.11987640777854,73.0
LT,Mar 2019,208.80850194154917,0.0,2.448442017346611,20.29111644657863,0.2740530488401683,6.864711546290031,49.509521964112864,5.732576633826409,28.41635746720409,100.0,38.104633522286676,74.0
BAJAJ-AUTO,Mar 2022,20.650390167118797,0.0041193609966844,584.3333333333334,0.9440061519182024,1.0703859876743431,5.873388940773526,55.575245838979804,0.26669738074403193,28.437472355733785,99.99876144394145,38.03031319203452,75.0
BAJAJ-AUTO,Mar 2022,20.650390167118797,0.0041193609966844,584.3333333333334,0.9440061519182024,1.0703859876743431,5.873388940773526,55.575245838979804,0.26669738074403193,28.437472355733785,99.99876144394145,38.03031319203452,75.0
EICHERMOT,Mar 2018,27.880512091038405,0.021479374110953,561.8,0.9415038857382902,0.7653061224489796,5.911481283624067,55.3403523402481,0.265990449083946,28.429383116883113,99.99354186026412,37.98814981002067,76.0
NESTLEIND,Dec 2015,19.98580049698261,0.0063897763578274,518.3333333333334,1.343246795925074,14.742451154529308,5.869887509146764,54.88724417109698,0.3794894783663145,28.79998923515797,99.99807880488572,37.98693783973075,77.0
EICHERMOT,Mar 2017,31.18802619270346,0.0209541627689429,543.5,1.003424168925667,0.9598080383923214,5.9289071254659325,55.14958824142604,0.28348395514579317,28.43454036465434,99.99369977400127,37.958043892138676,78.0
DIVISLAB,Mar 2024,11.78984599513669,0.0002210596124088,552.5,0.5074385510996119,3.125,5.826706617848253,55.24340665068279,0.14335979928925252,28.49195075757575,99.9999335346617,37.94107147201155,79.0
LT,Mar 2020,201.59141376757955,0.1687638786084382,2.227837764268215,16.500510493477027,0.2386634844868735,6.826687872554195,49.50722232632407,4.661667639143787,28.415419107543205,99.94925826493856,37.872051042100765,80.0
DIVISLAB,Mar 2017,19.787194325182007,0.0067201792047787,483.3333333333333,0.6602761982128351,2.358490566037736,5.868841140293228,54.522394801765174,0.18653896722301114,28.471626643796448,99.99797946364124,37.80947620334382,81.0
HDFCLIFE,Mar 2013,33.43305908750935,0.0,483.3928571428572,0.3354167660670833,0.0,5.94073521960315,54.523015293889884,0.094760794499013,28.4090909090909,100.0,37.79352044341659,82.0
